ID,X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
1,0.98,514.5,294,110.25,7,2,0,0,15.55,21.33
2,0.98,514.5,294,110.25,7,3,0,0,15.55,21.33
3,0.98,514.5,294,110.25,7,4,0,0,15.55,21.33
4,0.98,514.5,294,110.25,7,5,0,0,15.55,21.33
5,0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28
6,0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38
7,0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16
8,0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6
9,0.86,588,294,147,7,2,0,0,19.5,27.3
10,0.86,588,294,147,7,3,0,0,19.95,21.97
11,0.86,588,294,147,7,4,0,0,19.34,23.49
12,0.86,588,294,147,7,5,0,0,18.31,27.87
13,0.82,612.5,318.5,147,7,2,0,0,17.05,23.77
14,0.82,612.5,318.5,147,7,3,0,0,17.41,21.46
15,0.82,612.5,318.5,147,7,4,0,0,16.95,21.16
16,0.82,612.5,318.5,147,7,5,0,0,15.98,24.93
17,0.79,637,343,147,7,2,0,0,28.52,37.73
18,0.79,637,343,147,7,3,0,0,29.9,31.27
19,0.79,637,343,147,7,4,0,0,29.63,30.93
20,0.79,637,343,147,7,5,0,0,28.75,39.44
21,0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79
22,0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68
23,0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79
24,0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4
25,0.74,686,245,220.5,3.5,2,0,0,6.07,10.9
26,0.74,686,245,220.5,3.5,3,0,0,6.05,11.19
27,0.74,686,245,220.5,3.5,4,0,0,6.01,10.94
28,0.74,686,245,220.5,3.5,5,0,0,6.04,11.17
29,0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27
30,0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72
31,0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29
32,0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67
33,0.69,735,294,220.5,3.5,2,0,0,6.85,11.74
34,0.69,735,294,220.5,3.5,3,0,0,6.79,12.05
35,0.69,735,294,220.5,3.5,4,0,0,6.77,11.73
36,0.69,735,294,220.5,3.5,5,0,0,6.81,11.93
37,0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4
38,0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23
39,0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4
40,0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14
41,0.64,784,343,220.5,3.5,2,0,0,10.85,16.78
42,0.64,784,343,220.5,3.5,3,0,0,10.54,16.8
43,0.64,784,343,220.5,3.5,4,0,0,10.77,16.75
44,0.64,784,343,220.5,3.5,5,0,0,10.56,16.67
45,0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07
46,0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22
47,0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08
48,0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04
49,0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47
50,0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37
51,0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44
52,0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29
53,0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92
54,0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87
55,0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58
56,0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33
57,0.86,588,294,147,7,2,0.1,1,26.28,30.89
58,0.86,588,294,147,7,3,0.1,1,26.91,25.6
59,0.86,588,294,147,7,4,0.1,1,26.37,27.03
60,0.86,588,294,147,7,5,0.1,1,25.27,31.73
61,0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31
62,0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91
63,0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61
64,0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51
65,0.79,637,343,147,7,2,0.1,1,35.56,41.68
66,0.79,637,343,147,7,3,0.1,1,37.12,35.28
67,0.79,637,343,147,7,4,0.1,1,36.9,34.43
68,0.79,637,343,147,7,5,0.1,1,35.94,43.33
69,0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87
70,0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07
71,0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14
72,0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67
73,0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43
74,0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71
75,0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48
76,0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7
77,0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8
78,0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28
79,0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87
80,0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27
81,0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28
82,0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61
83,0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3
84,0.69,735,294,220.5,3.5,5,0.1,1,11.16,14.45
85,0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9
86,0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72
87,0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88
88,0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65
89,0.64,784,343,220.5,3.5,2,0.1,1,15.41,19.37
90,0.64,784,343,220.5,3.5,3,0.1,1,15.2,19.43
91,0.64,784,343,220.5,3.5,4,0.1,1,15.42,19.34
92,0.64,784,343,220.5,3.5,5,0.1,1,15.21,19.32
93,0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34
94,0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5
95,0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33
96,0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27
97,0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95
98,0.98,514.5,294,110.25,7,3,0.1,2,24.31,25.63
99,0.98,514.5,294,110.25,7,4,0.1,2,24.13,26.13
100,0.98,514.5,294,110.25,7,5,0.1,2,24.25,25.89
101,0.9,563.5,318.5,122.5,7,2,0.1,2,28.88,32.54
102,0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44
103,0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36
104,0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2
105,0.86,588,294,147,7,2,0.1,2,26.48,30.91
106,0.86,588,294,147,7,3,0.1,2,27.02,25.63
107,0.86,588,294,147,7,4,0.1,2,26.33,27.36
108,0.86,588,294,147,7,5,0.1,2,25.36,31.9
109,0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38
110,0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02
111,0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8
112,0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79
113,0.79,637,343,147,7,2,0.1,2,35.65,41.07
114,0.79,637,343,147,7,3,0.1,2,37.26,34.62
115,0.79,637,343,147,7,4,0.1,2,36.97,33.87
116,0.79,637,343,147,7,5,0.1,2,36.03,42.86
117,0.76,661.5,416.5,122.5,7,2,0.1,2,33.16,33.91
118,0.76,661.5,416.5,122.5,7,3,0.1,2,32.4,34.07
119,0.76,661.5,416.5,122.5,7,4,0.1,2,33.12,34.17
120,0.76,661.5,416.5,122.5,7,5,0.1,2,32.41,33.78
121,0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39
122,0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72
123,0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57
124,0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79
125,0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67
126,0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11
127,0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,13.8
128,0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,14.21
129,0.69,735,294,220.5,3.5,2,0.1,2,11.45,13.2
130,0.69,735,294,220.5,3.5,3,0.1,2,11.46,13.54
131,0.69,735,294,220.5,3.5,4,0.1,2,11.32,13.32
132,0.69,735,294,220.5,3.5,5,0.1,2,11.49,13.51
133,0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,14.86
134,0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42,14.75
135,0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,15
136,0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43,14.74
137,0.64,784,343,220.5,3.5,2,0.1,2,15.41,19.23
138,0.64,784,343,220.5,3.5,3,0.1,2,15.18,19.34
139,0.64,784,343,220.5,3.5,4,0.1,2,15.34,19.32
140,0.64,784,343,220.5,3.5,5,0.1,2,15.19,19.3
141,0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,14.37
142,0.62,808.5,367.5,220.5,3.5,3,0.1,2,13,14.57
143,0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27
144,0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24
145,0.98,514.5,294,110.25,7,2,0.1,3,24.28,25.68
146,0.98,514.5,294,110.25,7,3,0.1,3,24.4,26.02
147,0.98,514.5,294,110.25,7,4,0.1,3,24.11,25.84
148,0.98,514.5,294,110.25,7,5,0.1,3,24.35,26.14
149,0.9,563.5,318.5,122.5,7,2,0.1,3,28.07,34.14
150,0.9,563.5,318.5,122.5,7,3,0.1,3,29.01,32.85
151,0.9,563.5,318.5,122.5,7,4,0.1,3,29.62,30.08
152,0.9,563.5,318.5,122.5,7,5,0.1,3,29.05,29.67
153,0.86,588,294,147,7,2,0.1,3,25.41,31.73
154,0.86,588,294,147,7,3,0.1,3,26.47,31.01
155,0.86,588,294,147,7,4,0.1,3,26.89,25.9
156,0.86,588,294,147,7,5,0.1,3,26.46,27.4
157,0.82,612.5,318.5,147,7,2,0.1,3,22.93,28.68
158,0.82,612.5,318.5,147,7,3,0.1,3,23.84,27.54
159,0.82,612.5,318.5,147,7,4,0.1,3,24.17,25.35
160,0.82,612.5,318.5,147,7,5,0.1,3,23.87,24.93
161,0.79,637,343,147,7,2,0.1,3,35.78,43.12
162,0.79,637,343,147,7,3,0.1,3,35.48,41.22
163,0.79,637,343,147,7,4,0.1,3,36.97,35.1
164,0.79,637,343,147,7,5,0.1,3,36.7,34.29
165,0.76,661.5,416.5,122.5,7,2,0.1,3,32.52,33.85
166,0.76,661.5,416.5,122.5,7,3,0.1,3,33.28,34.11
167,0.76,661.5,416.5,122.5,7,4,0.1,3,32.33,34.48
168,0.76,661.5,416.5,122.5,7,5,0.1,3,33.24,34.5
169,0.74,686,245,220.5,3.5,2,0.1,3,10.39,13.6
170,0.74,686,245,220.5,3.5,3,0.1,3,10.34,13.36
171,0.74,686,245,220.5,3.5,4,0.1,3,10.35,13.65
172,0.74,686,245,220.5,3.5,5,0.1,3,10.38,13.49
173,0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,14.14
174,0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,13.77
175,0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68,14.3
176,0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87
177,0.69,735,294,220.5,3.5,2,0.1,3,11.22,14.44
178,0.69,735,294,220.5,3.5,3,0.1,3,11.16,14.27
179,0.69,735,294,220.5,3.5,4,0.1,3,11.1,14.67
180,0.69,735,294,220.5,3.5,5,0.1,3,11.14,14.4
181,0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46
182,0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7
183,0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59
184,0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83
185,0.64,784,343,220.5,3.5,2,0.1,3,15.16,19.14
186,0.64,784,343,220.5,3.5,3,0.1,3,15.36,19.18
187,0.64,784,343,220.5,3.5,4,0.1,3,15.12,19.37
188,0.64,784,343,220.5,3.5,5,0.1,3,15.36,19.29
189,0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09
190,0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23
191,0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14
192,0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89
193,0.98,514.5,294,110.25,7,2,0.1,4,24.38,25.91
194,0.98,514.5,294,110.25,7,3,0.1,4,24.23,25.72
195,0.98,514.5,294,110.25,7,4,0.1,4,24.04,26.18
196,0.98,514.5,294,110.25,7,5,0.1,4,24.32,25.87
197,0.9,563.5,318.5,122.5,7,2,0.1,4,29.06,29.34
198,0.9,563.5,318.5,122.5,7,3,0.1,4,28.05,33.91
199,0.9,563.5,318.5,122.5,7,4,0.1,4,28.86,32.83
200,0.9,563.5,318.5,122.5,7,5,0.1,4,29.79,29.92
201,0.86,588,294,147,7,2,0.1,4,26.44,27.17
202,0.86,588,294,147,7,3,0.1,4,25.37,31.76
203,0.86,588,294,147,7,4,0.1,4,26.33,31.06
204,0.86,588,294,147,7,5,0.1,4,27.03,25.81
205,0.82,612.5,318.5,147,7,2,0.1,4,23.8,24.61
206,0.82,612.5,318.5,147,7,3,0.1,4,22.8,28.61
207,0.82,612.5,318.5,147,7,4,0.1,4,23.59,27.57
208,0.82,612.5,318.5,147,7,5,0.1,4,24.24,25.16
209,0.79,637,343,147,7,2,0.1,4,36.86,34.25
210,0.79,637,343,147,7,3,0.1,4,35.89,43.3
211,0.79,637,343,147,7,4,0.1,4,35.45,41.86
212,0.79,637,343,147,7,5,0.1,4,37.1,35.29
213,0.76,661.5,416.5,122.5,7,2,0.1,4,33.08,34.11
214,0.76,661.5,416.5,122.5,7,3,0.1,4,32.38,33.62
215,0.76,661.5,416.5,122.5,7,4,0.1,4,33.09,33.89
216,0.76,661.5,416.5,122.5,7,5,0.1,4,32.31,34.05
217,0.74,686,245,220.5,3.5,2,0.1,4,10.08,13.2
218,0.74,686,245,220.5,3.5,3,0.1,4,10.15,13.36
219,0.74,686,245,220.5,3.5,4,0.1,4,10.07,13.21
220,0.74,686,245,220.5,3.5,5,0.1,4,10.14,13.53
221,0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,13.67
222,0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,14.12
223,0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79
224,0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,14.2
225,0.69,735,294,220.5,3.5,2,0.1,4,11.18,14.29
226,0.69,735,294,220.5,3.5,3,0.1,4,11.22,14.49
227,0.69,735,294,220.5,3.5,4,0.1,4,11.07,14.42
228,0.69,735,294,220.5,3.5,5,0.1,4,11.2,14.73
229,0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,14.86
230,0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67
231,0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,15
232,0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43,14.83
233,0.64,784,343,220.5,3.5,2,0.1,4,15.4,19.24
234,0.64,784,343,220.5,3.5,3,0.1,4,15.19,19.25
235,0.64,784,343,220.5,3.5,4,0.1,4,15.32,19.42
236,0.64,784,343,220.5,3.5,5,0.1,4,15.16,19.48
237,0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,14.37
238,0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,14.34
239,0.62,808.5,367.5,220.5,3.5,4,0.1,4,13,14.28
240,0.62,808.5,367.5,220.5,3.5,5,0.1,4,13,14.47
241,0.98,514.5,294,110.25,7,2,0.1,5,24.35,25.64
242,0.98,514.5,294,110.25,7,3,0.1,5,24.33,25.98
243,0.98,514.5,294,110.25,7,4,0.1,5,24.03,25.88
244,0.98,514.5,294,110.25,7,5,0.1,5,24.26,26.18
245,0.9,563.5,318.5,122.5,7,2,0.1,5,29.83,29.82
246,0.9,563.5,318.5,122.5,7,3,0.1,5,29.08,29.52
247,0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45
248,0.9,563.5,318.5,122.5,7,5,0.1,5,29.02,33.01
249,0.86,588,294,147,7,2,0.1,5,27.03,25.82
250,0.86,588,294,147,7,3,0.1,5,26.45,27.33
251,0.86,588,294,147,7,4,0.1,5,25.36,32.04
252,0.86,588,294,147,7,5,0.1,5,26.45,31.28
253,0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11
254,0.82,612.5,318.5,147,7,3,0.1,5,23.89,24.77
255,0.82,612.5,318.5,147,7,4,0.1,5,22.89,28.88
256,0.82,612.5,318.5,147,7,5,0.1,5,23.86,27.69
257,0.79,637,343,147,7,2,0.1,5,37.03,34.99
258,0.79,637,343,147,7,3,0.1,5,36.71,34.18
259,0.79,637,343,147,7,4,0.1,5,36.77,43.14
260,0.79,637,343,147,7,5,0.1,5,35.48,41.26
261,0.76,661.5,416.5,122.5,7,2,0.1,5,32.31,34.25
262,0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35
263,0.76,661.5,416.5,122.5,7,4,0.1,5,32.46,33.64
264,0.76,661.5,416.5,122.5,7,5,0.1,5,33.27,33.88
265,0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65
266,0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44
267,0.74,686,245,220.5,3.5,4,0.1,5,10.34,13.72
268,0.74,686,245,220.5,3.5,5,0.1,5,10.39,13.5
269,0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78,14.18
270,0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7,13.75
271,0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26
272,0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69,13.89
273,0.69,735,294,220.5,3.5,2,0.1,5,11.21,14.55
274,0.69,735,294,220.5,3.5,3,0.1,5,11.14,14.28
275,0.69,735,294,220.5,3.5,4,0.1,5,11.11,14.46
276,0.69,735,294,220.5,3.5,5,0.1,5,11.16,14.39
277,0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54
278,0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81
279,0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65
280,0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34,14.87
281,0.64,784,343,220.5,3.5,2,0.1,5,15.16,19.24
282,0.64,784,343,220.5,3.5,3,0.1,5,15.37,19.18
283,0.64,784,343,220.5,3.5,4,0.1,5,15.12,19.26
284,0.64,784,343,220.5,3.5,5,0.1,5,15.36,19.29
285,0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24
286,0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97
287,0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99
288,0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15
289,0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79
290,0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79
291,0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28
292,0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49
293,0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12
294,0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17
295,0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71
296,0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58
297,0.86,588,294,147,7,2,0.25,1,29.54,33.98
298,0.86,588,294,147,7,3,0.25,1,30.05,28.61
299,0.86,588,294,147,7,4,0.25,1,29.6,30.12
300,0.86,588,294,147,7,5,0.25,1,28.66,34.73
301,0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17
302,0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84
303,0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25
304,0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39
305,0.79,637,343,147,7,2,0.25,1,38.67,43.8
306,0.79,637,343,147,7,3,0.25,1,40.03,37.81
307,0.79,637,343,147,7,4,0.25,1,39.86,36.85
308,0.79,637,343,147,7,5,0.25,1,39.04,45.52
309,0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85
310,0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58
311,0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45
312,0.76,661.5,416.5,122.5,7,5,0.25,1,36.43,36.62
313,0.74,686,245,220.5,3.5,2,0.25,1,12.43,15.19
314,0.74,686,245,220.5,3.5,3,0.25,1,12.5,15.5
315,0.74,686,245,220.5,3.5,4,0.25,1,12.41,15.28
316,0.74,686,245,220.5,3.5,5,0.25,1,12.45,15.5
317,0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42
318,0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65,15.85
319,0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57,15.44
320,0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63,15.81
321,0.69,735,294,220.5,3.5,2,0.25,1,12.78,15.21
322,0.69,735,294,220.5,3.5,3,0.25,1,12.93,15.63
323,0.69,735,294,220.5,3.5,4,0.25,1,12.73,15.48
324,0.69,735,294,220.5,3.5,5,0.25,1,12.72,15.78
325,0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17,16.39
326,0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27
327,0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17,16.39
328,0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18,16.19
329,0.64,784,343,220.5,3.5,2,0.25,1,17.5,21.13
330,0.64,784,343,220.5,3.5,3,0.25,1,17.35,21.19
331,0.64,784,343,220.5,3.5,4,0.25,1,17.52,21.09
332,0.64,784,343,220.5,3.5,5,0.25,1,17.37,21.08
333,0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09,15.77
334,0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95
335,0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77
336,0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16,15.76
337,0.98,514.5,294,110.25,7,2,0.25,2,28.67,29.62
338,0.98,514.5,294,110.25,7,3,0.25,2,28.57,29.69
339,0.98,514.5,294,110.25,7,4,0.25,2,28.18,30.18
340,0.98,514.5,294,110.25,7,5,0.25,2,28.6,30.02
341,0.9,563.5,318.5,122.5,7,2,0.25,2,32.46,35.56
342,0.9,563.5,318.5,122.5,7,3,0.25,2,33.27,32.64
343,0.9,563.5,318.5,122.5,7,4,0.25,2,32.33,32.77
344,0.9,563.5,318.5,122.5,7,5,0.25,2,31.66,37.72
345,0.86,588,294,147,7,2,0.25,2,29.34,33.37
346,0.86,588,294,147,7,3,0.25,2,29.87,27.89
347,0.86,588,294,147,7,4,0.25,2,29.27,29.9
348,0.86,588,294,147,7,5,0.25,2,28.4,34.52
349,0.82,612.5,318.5,147,7,2,0.25,2,25.74,28.27
350,0.82,612.5,318.5,147,7,3,0.25,2,25.98,26.96
351,0.82,612.5,318.5,147,7,4,0.25,2,25.38,26.72
352,0.82,612.5,318.5,147,7,5,0.25,2,24.94,29.88
353,0.79,637,343,147,7,2,0.25,2,38.57,43.86
354,0.79,637,343,147,7,3,0.25,2,40.19,37.41
355,0.79,637,343,147,7,4,0.25,2,39.97,36.77
356,0.79,637,343,147,7,5,0.25,2,38.98,45.97
357,0.76,661.5,416.5,122.5,7,2,0.25,2,36.95,36.87
358,0.76,661.5,416.5,122.5,7,3,0.25,2,36.28,37.35
359,0.76,661.5,416.5,122.5,7,4,0.25,2,36.86,37.28
360,0.76,661.5,416.5,122.5,7,5,0.25,2,36.45,36.81
361,0.74,686,245,220.5,3.5,2,0.25,2,12.35,14.73
362,0.74,686,245,220.5,3.5,3,0.25,2,12.45,15.1
363,0.74,686,245,220.5,3.5,4,0.25,2,12.16,15.18
364,0.74,686,245,220.5,3.5,5,0.25,2,12.3,15.44
365,0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91
366,0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29,15.4
367,0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94
368,0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49,15.32
369,0.69,735,294,220.5,3.5,2,0.25,2,12.85,15.52
370,0.69,735,294,220.5,3.5,3,0.25,2,12.87,15.85
371,0.69,735,294,220.5,3.5,4,0.25,2,12.73,15.66
372,0.69,735,294,220.5,3.5,5,0.25,2,12.95,15.99
373,0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05,15.89
374,0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85
375,0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77,16.22
376,0.66,759.5,318.5,220.5,3.5,5,0.25,2,13,15.87
377,0.64,784,343,220.5,3.5,2,0.25,2,17.14,20.47
378,0.64,784,343,220.5,3.5,3,0.25,2,16.84,20.56
379,0.64,784,343,220.5,3.5,4,0.25,2,17.02,20.48
380,0.64,784,343,220.5,3.5,5,0.25,2,17.11,20.43
381,0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34,15.32
382,0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66,15.64
383,0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6,15.14
384,0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6,15.3
385,0.98,514.5,294,110.25,7,2,0.25,3,28.67,29.43
386,0.98,514.5,294,110.25,7,3,0.25,3,28.56,29.78
